payment_id,rows_count,first_date,last_date,transaction_types,source,is_sale_api,sale_reason,status,status_detail,operation_type,order_id,gross_amount,commission_calc,shipping_calc,launch_net_calc,net_api,extrato_sum,diff_extrato_vs_launch,money_release_date,money_release_status,fetch_error
139632176183,1,01-01-2026,01-01-2026,payout,unresolved,False,unresolved_not_found_in_ml,,,,,0.0,0.0,0.0,0.0,0.0,-350.0,0.0,,,"Client error '404 Not Found' for url 'https://api.mercadopago.com/v1/payments/139632176183'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
139636133731,1,01-01-2026,01-01-2026,payment,ml_api_or_cache,False,no_order_id,approved,accredited,regular_payment,,0.0,0.0,0.0,0.0,0.0,-1120.47,0.0,2026-01-01,released,
139636302479,1,01-01-2026,01-01-2026,payment,ml_api_or_cache,False,no_order_id,approved,accredited,regular_payment,,0.0,0.0,0.0,0.0,0.0,-1172.33,0.0,2026-01-01,released,
139639491640,1,11-01-2026,11-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014481658980,126.9,21.57,17.16,88.17,88.17,88.17,0.0,2026-01-11,released,
139641326679,1,10-01-2026,10-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014532921924,260.2,44.23,23.45,192.52,192.52,192.52,0.0,2026-01-10,released,
139641681407,1,14-01-2026,14-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014533024116,113.9,13.67,13.96,86.27,86.27,86.27,0.0,2026-01-14,released,
139660582477,1,17-01-2026,17-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014535129302,65.33,15.84,0.0,49.49,49.49,49.49,0.0,2026-01-17,released,
139673707916,1,07-01-2026,07-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014484410824,34.9,12.43,0.0,22.47,22.47,22.47,0.0,2026-01-07,released,
139712861114,1,10-01-2026,10-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014488073740,129.9,11.69,0.0,118.21,118.21,118.21,0.0,2026-01-10,released,
139727192699,1,16-01-2026,16-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014541130792,397.0,47.64,26.95,322.41,322.41,322.41,0.0,2026-01-16,released,
139747405077,1,11-01-2026,11-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014542957036,128.9,15.47,15.96,97.47,97.47,97.47,0.0,2026-01-11,released,
139748255973,1,11-01-2026,11-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014543045210,289.0,34.68,24.95,229.37,229.37,229.37,0.0,2026-01-11,released,
139749344683,3,02-01-2026,02-01-2026,mediation | payment | refund,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014543139992,4850.0,507.0,24.95,4318.05,4318.05,0.0,-4318.05,2026-01-02,released,
139761721655,1,16-01-2026,16-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014544604090,142.4,17.09,15.96,109.35,109.35,109.35,0.0,2026-01-16,released,
139777127731,1,17-01-2026,17-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014546387786,583.2,69.98,24.95,488.27,488.27,488.27,0.0,2026-01-17,released,
